ecli,missing_refs,doctypebranch,importance
ECLI:CE:ECHR:2017:1012JUD004685213,12167,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2015:0210JUD005198708,1029,COMMITTEE,4.0
ECLI:CE:ECHR:2017:1010JUD001331208,842,COMMITTEE,4.0
ECLI:CE:ECHR:2015:0707JUD007228710,657,CHAMBER,3.0
ECLI:CE:ECHR:2021:1123JUD007580516,443,CHAMBER,3.0
ECLI:CE:ECHR:2024:0625JUD005843717,315,COMMITTEE,4.0
ECLI:CE:ECHR:2023:1212JUD001523117,285,COMMITTEE,4.0
ECLI:CE:ECHR:2014:0109JUD001289508,263,COMMITTEE,4.0
ECLI:CE:ECHR:2013:1212JUD003599509,263,COMMITTEE,4.0
ECLI:CE:ECHR:2013:1212JUD004093406,259,COMMITTEE,4.0
ECLI:CE:ECHR:2014:0731JUD003676206,259,COMMITTEE,4.0
ECLI:CE:ECHR:2013:1024JUD007263110,258,COMMITTEE,4.0
ECLI:CE:ECHR:2013:0725JUD005455209,256,COMMITTEE,4.0
ECLI:CE:ECHR:2014:0213JUD005983409,255,COMMITTEE,4.0
ECLI:CE:ECHR:2013:0620JUD006565611,254,COMMITTEE,4.0
ECLI:CE:ECHR:2014:0213JUD002926608,252,COMMITTEE,4.0
ECLI:CE:ECHR:2013:0718JUD000127012,251,COMMITTEE,4.0
ECLI:CE:ECHR:2024:1112JUD003616718,241,COMMITTEE,4.0
ECLI:CE:ECHR:2024:1217JUD004338219,239,COMMITTEE,4.0
ECLI:CE:ECHR:2024:1022JUD004948417,224,COMMITTEE,4.0
ECLI:CE:ECHR:2024:1217JUD004152717,215,COMMITTEE,4.0
ECLI:CE:ECHR:2024:1203JUD001565920,208,COMMITTEE,4.0
ECLI:CE:ECHR:2024:0625JUD002095814,199,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2013:0528JUD005761110,197,COMMITTEE,4.0
ECLI:CE:ECHR:2009:1217JUD000456307,193,CHAMBER,4.0
ECLI:CE:ECHR:2010:0729JUD000854906,190,CHAMBER,3.0
ECLI:CE:ECHR:2024:1203JUD001880918,173,COMMITTEE,4.0
ECLI:CE:ECHR:2015:0127JUD003692510,173,CHAMBER,2.0
ECLI:CE:ECHR:2014:0716JUD006064208,172,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2017:1128JUD007250813,171,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2013:0620JUD002039707,165,COMMITTEE,4.0
ECLI:CE:ECHR:2024:0409JUD005360020,158,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2015:1015JUD002751008,157,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2012:1106JUD006064208,152,CHAMBER,3.0
ECLI:CE:ECHR:2011:0510JUD003734605,146,CHAMBER,3.0
ECLI:CE:ECHR:2011:0510JUD004805906,145,CHAMBER,3.0
ECLI:CE:ECHR:2013:0725JUD001108206,144,CHAMBER,3.0
ECLI:CE:ECHR:2022:1018JUD006363416,136,COMMITTEE,4.0
ECLI:CE:ECHR:2023:0706JUD002118119,134,CHAMBER,3.0
ECLI:CE:ECHR:2023:0711JUD001434717,133,COMMITTEE,4.0
ECLI:CE:ECHR:2012:0503JUD001295905,132,CHAMBER,3.0
ECLI:CE:ECHR:2024:1022JUD003944616,132,CHAMBER,3.0
ECLI:CE:ECHR:2016:1020JUD000733413,132,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2024:1112JUD003699417,132,COMMITTEE,4.0
ECLI:CE:ECHR:2016:0705JUD004489810,131,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2011:1018JUD002608806,130,CHAMBER,3.0
ECLI:CE:ECHR:2024:1112JUD005621119,128,COMMITTEE,4.0
ECLI:CE:ECHR:2013:0221JUD002761706,128,COMMITTEE,4.0
ECLI:CE:ECHR:2013:1212JUD003954405,125,CHAMBER,3.0
ECLI:CE:ECHR:2014:0917JUD001086509,125,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2008:0117JUD000090305,124,CHAMBER,4.0
ECLI:CE:ECHR:2015:0721JUD001876611,123,CHAMBER,3.0
ECLI:CE:ECHR:2011:0920JUD001785404,122,CHAMBER,3.0
ECLI:CE:ECHR:2013:0117JUD001240506,121,COMMITTEE,4.0
ECLI:CE:ECHR:2024:1217JUD001810204,120,CHAMBER,3.0
ECLI:CE:ECHR:2014:0701JUD002992005,119,CHAMBER,3.0
ECLI:CE:ECHR:2012:0726JUD000070305,117,COMMITTEE,4.0
ECLI:CE:ECHR:2018:0628JUD000182806,117,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2011:1025JUD000203304,116,CHAMBER,3.0
ECLI:CE:ECHR:2016:1213JUD005308013,115,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2014:0415JUD002183810,113,CHAMBER,3.0
ECLI:CE:ECHR:2022:0906JUD002006117,111,COMMITTEE,4.0
ECLI:CE:ECHR:2023:0117JUD004079210,110,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2024:0618JUD003794918,109,CHAMBER,3.0
ECLI:CE:ECHR:2009:1015JUD002311308,109,CHAMBER,4.0
ECLI:CE:ECHR:2012:1218JUD000732105,109,COMMITTEE,4.0
ECLI:CE:ECHR:2006:0329JUD003681397,108,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2005:0630JUD004503698,108,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2019:0718JUD001681217,107,CHAMBER,3.0
ECLI:CE:ECHR:2017:1219JUD005608013,107,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2010:0527JUD000651804,105,CHAMBER,3.0
ECLI:CE:ECHR:2012:0828JUD001715311,105,CHAMBER,3.0
ECLI:CE:ECHR:2013:0425JUD002272207,104,COMMITTEE,4.0
ECLI:CE:ECHR:2017:0404JUD003692507,103,CHAMBER,2.0
ECLI:CE:ECHR:2017:0207JUD005781809,103,CHAMBER,3.0
ECLI:CE:ECHR:2012:0626JUD002682806,103,GRANDCHAMBER,1.0
ECLI:CE:ECHR:2011:0920JUD001490204,102,CHAMBER,2.0
ECLI:CE:ECHR:2010:1005JUD004746007,101,CHAMBER,3.0
ECLI:CE:ECHR:2016:0712JUD003466107,101,CHAMBER,3.0
