Centrality,article_1,article_10,article_10-1,article_10-2,article_11,article_11-1,article_13,article_14,article_2,article_2-1,article_29,article_29-3,article_3,article_34,article_35,article_35-1,article_35-3,article_35-3-a,article_37,article_37-1,article_4,article_41,article_46,article_46-2,article_5,article_5-1,article_5-3,article_5-4,article_6,article_6-1,article_6-2,article_6-3,article_6-3-c,article_7,article_7-1,article_8,article_8-1,article_8-2,article_9,article_P1-1,article_P1-1-1
betweenness_centrality,Doctypebranch: -0.0506 | Importance: -0.0519,Doctypebranch: -0.0368 | Importance: 0.0477,Doctypebranch: -0.0403 | Importance: 0.0498,Doctypebranch: 0.0080 | Importance: 0.1227,Doctypebranch: -0.0112 | Importance: -0.0692,Doctypebranch: -0.0175 | Importance: -0.0779,Doctypebranch: -0.1083 | Importance: -0.0994,Doctypebranch: -0.0041 | Importance: 0.0277,Doctypebranch: 0.0147 | Importance: 0.0053,Doctypebranch: 0.0321 | Importance: -0.0478,Doctypebranch: 0.0089 | Importance: -0.0388,Doctypebranch: 0.0089 | Importance: -0.0388,Doctypebranch: -0.0308 | Importance: -0.0511,Doctypebranch: -0.0986 | Importance: -0.0233,Doctypebranch: 0.0259 | Importance: 0.0414,Doctypebranch: -0.0057 | Importance: 0.0417,Doctypebranch: -0.0394 | Importance: -0.0437,Doctypebranch: -0.1569 | Importance: -0.0871,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0084 | Importance: 0.0309,Doctypebranch: 0.0250 | Importance: 0.0384,Doctypebranch: 0.0913 | Importance: 0.1147,Doctypebranch: 0.0733 | Importance: 0.0777,Doctypebranch: -0.0329 | Importance: -0.0177,Doctypebranch: -0.0461 | Importance: -0.0054,Doctypebranch: -0.0102 | Importance: 0.0009,Doctypebranch: -0.0299 | Importance: -0.0060,Doctypebranch: -0.0249 | Importance: -0.0638,Doctypebranch: -0.0329 | Importance: -0.0522,Doctypebranch: 0.0840 | Importance: 0.1210,Doctypebranch: 0.0022 | Importance: -0.0025,Doctypebranch: 0.0030 | Importance: 0.0278,Doctypebranch: nan | Importance: nan,Doctypebranch: nan | Importance: nan,Doctypebranch: 0.0171 | Importance: 0.0212,Doctypebranch: 0.0114 | Importance: 0.0154,Doctypebranch: 0.0646 | Importance: 0.0399,Doctypebranch: -0.0240 | Importance: -0.0715,Doctypebranch: -0.0010 | Importance: -0.0763,Doctypebranch: -0.0081 | Importance: -0.0458
closeness_centrality,Doctypebranch: -0.3631 | Importance: -0.4191,Doctypebranch: -0.3694 | Importance: -0.3138,Doctypebranch: -0.3812 | Importance: -0.3368,Doctypebranch: -0.3783 | Importance: -0.3125,Doctypebranch: -0.2768 | Importance: -0.3038,Doctypebranch: -0.2843 | Importance: -0.3684,Doctypebranch: -0.2999 | Importance: -0.3486,Doctypebranch: -0.2386 | Importance: -0.2290,Doctypebranch: -0.3189 | Importance: -0.3352,Doctypebranch: -0.3431 | Importance: -0.3866,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.3267 | Importance: -0.3734,Doctypebranch: -0.4445 | Importance: -0.2490,Doctypebranch: -0.3915 | Importance: -0.3135,Doctypebranch: -0.4107 | Importance: -0.3012,Doctypebranch: -0.3985 | Importance: -0.3128,Doctypebranch: -0.3931 | Importance: -0.3040,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: -0.3403 | Importance: -0.3579,Doctypebranch: -0.3346 | Importance: -0.3512,Doctypebranch: -0.4230 | Importance: -0.3456,Doctypebranch: -0.4557 | Importance: -0.3937,Doctypebranch: -0.3619 | Importance: -0.3376,Doctypebranch: -0.3591 | Importance: -0.3169,Doctypebranch: -0.3467 | Importance: -0.3076,Doctypebranch: -0.3210 | Importance: -0.3129,Doctypebranch: -0.3464 | Importance: -0.4104,Doctypebranch: -0.3391 | Importance: -0.3909,Doctypebranch: -0.2517 | Importance: -0.2264,Doctypebranch: -0.2513 | Importance: -0.3135,Doctypebranch: -0.2306 | Importance: -0.3593,Doctypebranch: -0.2963 | Importance: -0.2607,Doctypebranch: -0.2192 | Importance: -0.2185,Doctypebranch: -0.2923 | Importance: -0.2960,Doctypebranch: -0.2953 | Importance: -0.3100,Doctypebranch: -0.2161 | Importance: -0.2003,Doctypebranch: -0.2895 | Importance: -0.2697,Doctypebranch: -0.3231 | Importance: -0.3822,Doctypebranch: -0.3113 | Importance: -0.3651
core_number,Doctypebranch: -0.3419 | Importance: -0.3192,Doctypebranch: -0.2833 | Importance: -0.1465,Doctypebranch: -0.2945 | Importance: -0.1547,Doctypebranch: -0.1963 | Importance: 0.0055,Doctypebranch: -0.2666 | Importance: -0.2221,Doctypebranch: -0.2851 | Importance: -0.2832,Doctypebranch: -0.3072 | Importance: -0.2777,Doctypebranch: -0.1553 | Importance: -0.1087,Doctypebranch: -0.2318 | Importance: -0.1834,Doctypebranch: -0.2717 | Importance: -0.2489,Doctypebranch: -0.0853 | Importance: -0.0930,Doctypebranch: -0.0853 | Importance: -0.0930,Doctypebranch: -0.2926 | Importance: -0.2763,Doctypebranch: -0.3017 | Importance: -0.0662,Doctypebranch: -0.2584 | Importance: -0.1311,Doctypebranch: -0.2501 | Importance: -0.0881,Doctypebranch: -0.2486 | Importance: -0.1902,Doctypebranch: -0.2581 | Importance: -0.2190,Doctypebranch: -0.1743 | Importance: -0.2557,Doctypebranch: -0.1090 | Importance: -0.2177,Doctypebranch: -0.2539 | Importance: -0.1548,Doctypebranch: -0.2207 | Importance: -0.1153,Doctypebranch: -0.2166 | Importance: -0.2319,Doctypebranch: -0.2236 | Importance: -0.2537,Doctypebranch: -0.3054 | Importance: -0.2312,Doctypebranch: -0.2860 | Importance: -0.1802,Doctypebranch: -0.2885 | Importance: -0.2325,Doctypebranch: -0.3185 | Importance: -0.2579,Doctypebranch: -0.3247 | Importance: -0.3069,Doctypebranch: -0.3280 | Importance: -0.2668,Doctypebranch: -0.1140 | Importance: -0.1052,Doctypebranch: -0.2003 | Importance: -0.1780,Doctypebranch: -0.1527 | Importance: -0.2184,Doctypebranch: -0.2150 | Importance: -0.2387,Doctypebranch: -0.1463 | Importance: -0.2051,Doctypebranch: -0.2375 | Importance: -0.1732,Doctypebranch: -0.2434 | Importance: -0.1813,Doctypebranch: -0.1160 | Importance: 0.0260,Doctypebranch: -0.1831 | Importance: -0.1910,Doctypebranch: -0.2723 | Importance: -0.3033,Doctypebranch: -0.2740 | Importance: -0.2508
degree_centrality,Doctypebranch: -0.3411 | Importance: -0.3185,Doctypebranch: -0.2835 | Importance: -0.1491,Doctypebranch: -0.2946 | Importance: -0.1570,Doctypebranch: -0.1999 | Importance: 0.0020,Doctypebranch: -0.2654 | Importance: -0.2137,Doctypebranch: -0.2855 | Importance: -0.2756,Doctypebranch: -0.3065 | Importance: -0.2789,Doctypebranch: -0.1561 | Importance: -0.1030,Doctypebranch: -0.2259 | Importance: -0.1784,Doctypebranch: -0.2687 | Importance: -0.2485,Doctypebranch: -0.0825 | Importance: -0.0921,Doctypebranch: -0.0825 | Importance: -0.0921,Doctypebranch: -0.2932 | Importance: -0.2765,Doctypebranch: -0.3039 | Importance: -0.0702,Doctypebranch: -0.2587 | Importance: -0.1290,Doctypebranch: -0.2550 | Importance: -0.0895,Doctypebranch: -0.2533 | Importance: -0.1916,Doctypebranch: -0.2699 | Importance: -0.2179,Doctypebranch: -0.1726 | Importance: -0.2559,Doctypebranch: -0.1072 | Importance: -0.2173,Doctypebranch: -0.2511 | Importance: -0.1536,Doctypebranch: -0.2199 | Importance: -0.1163,Doctypebranch: -0.2128 | Importance: -0.2090,Doctypebranch: -0.2230 | Importance: -0.2200,Doctypebranch: -0.3061 | Importance: -0.2309,Doctypebranch: -0.2869 | Importance: -0.1824,Doctypebranch: -0.2903 | Importance: -0.2349,Doctypebranch: -0.3194 | Importance: -0.2568,Doctypebranch: -0.3239 | Importance: -0.3079,Doctypebranch: -0.3283 | Importance: -0.2695,Doctypebranch: -0.1095 | Importance: -0.0878,Doctypebranch: -0.2054 | Importance: -0.1782,Doctypebranch: -0.1694 | Importance: -0.2218,Doctypebranch: -0.2150 | Importance: -0.2362,Doctypebranch: -0.1464 | Importance: -0.2042,Doctypebranch: -0.2302 | Importance: -0.1691,Doctypebranch: -0.2371 | Importance: -0.1770,Doctypebranch: -0.1074 | Importance: 0.0300,Doctypebranch: -0.1846 | Importance: -0.1921,Doctypebranch: -0.2713 | Importance: -0.3054,Doctypebranch: -0.2727 | Importance: -0.2522
disruption,Doctypebranch: -0.3101 | Importance: -0.3708,Doctypebranch: -0.3493 | Importance: -0.3523,Doctypebranch: -0.3562 | Importance: -0.3752,Doctypebranch: -0.3745 | Importance: -0.3937,Doctypebranch: -0.2660 | Importance: -0.2719,Doctypebranch: -0.2692 | Importance: -0.3338,Doctypebranch: -0.2405 | Importance: -0.2949,Doctypebranch: -0.2404 | Importance: -0.2604,Doctypebranch: -0.2983 | Importance: -0.3237,Doctypebranch: -0.3211 | Importance: -0.3187,Doctypebranch: -0.1567 | Importance: -0.2129,Doctypebranch: -0.1567 | Importance: -0.2129,Doctypebranch: -0.2925 | Importance: -0.3379,Doctypebranch: -0.4433 | Importance: -0.2975,Doctypebranch: -0.3804 | Importance: -0.3279,Doctypebranch: -0.4084 | Importance: -0.3325,Doctypebranch: -0.4006 | Importance: -0.3182,Doctypebranch: -0.4063 | Importance: -0.3360,Doctypebranch: -0.2176 | Importance: -0.2120,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: -0.3184 | Importance: -0.3658,Doctypebranch: -0.3203 | Importance: -0.3662,Doctypebranch: -0.4316 | Importance: -0.3803,Doctypebranch: -0.4520 | Importance: -0.3833,Doctypebranch: -0.3357 | Importance: -0.3352,Doctypebranch: -0.3396 | Importance: -0.3356,Doctypebranch: -0.3372 | Importance: -0.3141,Doctypebranch: -0.2700 | Importance: -0.2907,Doctypebranch: -0.3061 | Importance: -0.3548,Doctypebranch: -0.2958 | Importance: -0.3379,Doctypebranch: -0.2659 | Importance: -0.2273,Doctypebranch: -0.2356 | Importance: -0.3312,Doctypebranch: -0.2212 | Importance: -0.3652,Doctypebranch: -0.2960 | Importance: -0.2631,Doctypebranch: -0.2261 | Importance: -0.2202,Doctypebranch: -0.2865 | Importance: -0.2986,Doctypebranch: -0.2870 | Importance: -0.3001,Doctypebranch: -0.2220 | Importance: -0.1862,Doctypebranch: -0.2899 | Importance: -0.2439,Doctypebranch: -0.2995 | Importance: -0.3550,Doctypebranch: -0.2853 | Importance: -0.3631
eigenvector_centrality,Doctypebranch: -0.3491 | Importance: -0.4150,Doctypebranch: -0.3568 | Importance: -0.3047,Doctypebranch: -0.3664 | Importance: -0.3258,Doctypebranch: -0.3583 | Importance: -0.3004,Doctypebranch: -0.2742 | Importance: -0.3038,Doctypebranch: -0.2820 | Importance: -0.3684,Doctypebranch: -0.2977 | Importance: -0.3468,Doctypebranch: -0.2302 | Importance: -0.2270,Doctypebranch: -0.3002 | Importance: -0.3308,Doctypebranch: -0.3421 | Importance: -0.3800,Doctypebranch: -0.1522 | Importance: -0.1963,Doctypebranch: -0.1522 | Importance: -0.1963,Doctypebranch: -0.3167 | Importance: -0.3691,Doctypebranch: -0.4371 | Importance: -0.2487,Doctypebranch: -0.3766 | Importance: -0.3087,Doctypebranch: -0.3979 | Importance: -0.2994,Doctypebranch: -0.3934 | Importance: -0.3113,Doctypebranch: -0.3915 | Importance: -0.3038,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: -0.3172 | Importance: -0.3543,Doctypebranch: -0.3084 | Importance: -0.3467,Doctypebranch: -0.4074 | Importance: -0.3465,Doctypebranch: -0.4423 | Importance: -0.3943,Doctypebranch: -0.3484 | Importance: -0.3324,Doctypebranch: -0.3456 | Importance: -0.3127,Doctypebranch: -0.3417 | Importance: -0.3051,Doctypebranch: -0.3163 | Importance: -0.3111,Doctypebranch: -0.3377 | Importance: -0.4062,Doctypebranch: -0.3315 | Importance: -0.3863,Doctypebranch: -0.2284 | Importance: -0.2274,Doctypebranch: -0.2493 | Importance: -0.3113,Doctypebranch: -0.2302 | Importance: -0.3593,Doctypebranch: -0.2961 | Importance: -0.2607,Doctypebranch: -0.2191 | Importance: -0.2185,Doctypebranch: -0.2854 | Importance: -0.2927,Doctypebranch: -0.2872 | Importance: -0.3059,Doctypebranch: -0.2070 | Importance: -0.1990,Doctypebranch: -0.2888 | Importance: -0.2700,Doctypebranch: -0.3169 | Importance: -0.3825,Doctypebranch: -0.3061 | Importance: -0.3653
harmonic_centrality,Doctypebranch: -0.3619 | Importance: -0.4186,Doctypebranch: -0.3681 | Importance: -0.3136,Doctypebranch: -0.3796 | Importance: -0.3366,Doctypebranch: -0.3753 | Importance: -0.3121,Doctypebranch: -0.2768 | Importance: -0.3038,Doctypebranch: -0.2843 | Importance: -0.3684,Doctypebranch: -0.2997 | Importance: -0.3486,Doctypebranch: -0.2383 | Importance: -0.2290,Doctypebranch: -0.3178 | Importance: -0.3351,Doctypebranch: -0.3433 | Importance: -0.3868,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.1522 | Importance: -0.1958,Doctypebranch: -0.3258 | Importance: -0.3732,Doctypebranch: -0.4441 | Importance: -0.2491,Doctypebranch: -0.3901 | Importance: -0.3134,Doctypebranch: -0.4097 | Importance: -0.3011,Doctypebranch: -0.3983 | Importance: -0.3125,Doctypebranch: -0.3931 | Importance: -0.3040,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: -0.3386 | Importance: -0.3575,Doctypebranch: -0.3326 | Importance: -0.3507,Doctypebranch: -0.4226 | Importance: -0.3456,Doctypebranch: -0.4557 | Importance: -0.3937,Doctypebranch: -0.3605 | Importance: -0.3370,Doctypebranch: -0.3580 | Importance: -0.3167,Doctypebranch: -0.3466 | Importance: -0.3076,Doctypebranch: -0.3210 | Importance: -0.3130,Doctypebranch: -0.3460 | Importance: -0.4101,Doctypebranch: -0.3387 | Importance: -0.3907,Doctypebranch: -0.2515 | Importance: -0.2265,Doctypebranch: -0.2512 | Importance: -0.3133,Doctypebranch: -0.2306 | Importance: -0.3593,Doctypebranch: -0.2963 | Importance: -0.2607,Doctypebranch: -0.2192 | Importance: -0.2185,Doctypebranch: -0.2915 | Importance: -0.2954,Doctypebranch: -0.2941 | Importance: -0.3092,Doctypebranch: -0.2151 | Importance: -0.2001,Doctypebranch: -0.2895 | Importance: -0.2697,Doctypebranch: -0.3230 | Importance: -0.3822,Doctypebranch: -0.3110 | Importance: -0.3650
hits_authority,Doctypebranch: -0.2885 | Importance: -0.3272,Doctypebranch: -0.2796 | Importance: -0.2579,Doctypebranch: -0.3349 | Importance: -0.3169,Doctypebranch: -0.3350 | Importance: -0.2888,Doctypebranch: -0.1426 | Importance: -0.1586,Doctypebranch: -0.2150 | Importance: -0.3115,Doctypebranch: -0.1955 | Importance: -0.2084,Doctypebranch: -0.1370 | Importance: -0.1706,Doctypebranch: -0.2541 | Importance: -0.2386,Doctypebranch: -0.2524 | Importance: -0.2461,Doctypebranch: -0.0511 | Importance: 0.0001,Doctypebranch: 0.0178 | Importance: 0.0095,Doctypebranch: -0.2302 | Importance: -0.2472,Doctypebranch: -0.3027 | Importance: -0.1761,Doctypebranch: -0.2781 | Importance: -0.2040,Doctypebranch: -0.3238 | Importance: -0.2305,Doctypebranch: -0.2916 | Importance: -0.1834,Doctypebranch: -0.0739 | Importance: -0.0657,Doctypebranch: -0.0031 | Importance: 0.0714,Doctypebranch: -0.0092 | Importance: -0.0696,Doctypebranch: -0.2638 | Importance: -0.2648,Doctypebranch: -0.2793 | Importance: -0.2775,Doctypebranch: -0.3410 | Importance: -0.2869,Doctypebranch: -0.3852 | Importance: -0.2958,Doctypebranch: -0.2395 | Importance: -0.2140,Doctypebranch: -0.2749 | Importance: -0.2459,Doctypebranch: -0.2500 | Importance: -0.1832,Doctypebranch: -0.2245 | Importance: -0.2311,Doctypebranch: -0.2584 | Importance: -0.2889,Doctypebranch: -0.2252 | Importance: -0.2575,Doctypebranch: -0.2187 | Importance: -0.1556,Doctypebranch: -0.1116 | Importance: -0.1701,Doctypebranch: -0.1094 | Importance: -0.2139,Doctypebranch: -0.1395 | Importance: -0.1527,Doctypebranch: -0.0321 | Importance: -0.0389,Doctypebranch: -0.1972 | Importance: -0.2167,Doctypebranch: -0.1888 | Importance: -0.1961,Doctypebranch: -0.1654 | Importance: -0.1592,Doctypebranch: -0.0970 | Importance: -0.0792,Doctypebranch: -0.2017 | Importance: -0.2517,Doctypebranch: -0.1970 | Importance: -0.2300
hits_hub,Doctypebranch: -0.0486 | Importance: 0.0512,Doctypebranch: 0.0286 | Importance: 0.1841,Doctypebranch: 0.0734 | Importance: 0.2051,Doctypebranch: 0.1532 | Importance: 0.3747,Doctypebranch: -0.0464 | Importance: 0.0469,Doctypebranch: -0.0639 | Importance: 0.0607,Doctypebranch: -0.1139 | Importance: -0.0160,Doctypebranch: 0.1254 | Importance: 0.1734,Doctypebranch: 0.0819 | Importance: 0.1393,Doctypebranch: 0.0504 | Importance: 0.0336,Doctypebranch: 0.0141 | Importance: 0.1072,Doctypebranch: -0.0049 | Importance: -0.0129,Doctypebranch: -0.0235 | Importance: 0.0447,Doctypebranch: 0.1073 | Importance: 0.1974,Doctypebranch: 0.1161 | Importance: 0.1799,Doctypebranch: 0.1216 | Importance: 0.2107,Doctypebranch: 0.0684 | Importance: 0.0685,Doctypebranch: 0.1077 | Importance: 0.0371,Doctypebranch: -0.0415 | Importance: -0.1175,Doctypebranch: 0.0733 | Importance: 0.0279,Doctypebranch: 0.0956 | Importance: 0.2367,Doctypebranch: 0.1193 | Importance: 0.2705,Doctypebranch: 0.1782 | Importance: 0.1382,Doctypebranch: 0.1899 | Importance: 0.1560,Doctypebranch: -0.0051 | Importance: 0.0692,Doctypebranch: 0.0078 | Importance: 0.1063,Doctypebranch: -0.0087 | Importance: 0.0396,Doctypebranch: -0.0720 | Importance: 0.0289,Doctypebranch: -0.0554 | Importance: 0.0417,Doctypebranch: -0.0724 | Importance: 0.0697,Doctypebranch: 0.1545 | Importance: 0.1715,Doctypebranch: 0.0059 | Importance: 0.1015,Doctypebranch: 0.0158 | Importance: 0.0703,Doctypebranch: 0.0402 | Importance: -0.0078,Doctypebranch: 0.0043 | Importance: -0.0414,Doctypebranch: 0.0617 | Importance: 0.1366,Doctypebranch: 0.0236 | Importance: 0.1100,Doctypebranch: 0.1217 | Importance: 0.2680,Doctypebranch: 0.0341 | Importance: -0.0125,Doctypebranch: -0.0084 | Importance: -0.0202,Doctypebranch: -0.0270 | Importance: 0.0437
in_degree_centrality,Doctypebranch: -0.3701 | Importance: -0.4223,Doctypebranch: -0.3754 | Importance: -0.3186,Doctypebranch: -0.3881 | Importance: -0.3426,Doctypebranch: -0.3836 | Importance: -0.3157,Doctypebranch: -0.2781 | Importance: -0.3022,Doctypebranch: -0.2849 | Importance: -0.3679,Doctypebranch: -0.3015 | Importance: -0.3490,Doctypebranch: -0.2417 | Importance: -0.2290,Doctypebranch: -0.3242 | Importance: -0.3352,Doctypebranch: -0.3454 | Importance: -0.3884,Doctypebranch: -0.1532 | Importance: -0.1953,Doctypebranch: -0.1532 | Importance: -0.1953,Doctypebranch: -0.3327 | Importance: -0.3760,Doctypebranch: -0.4472 | Importance: -0.2479,Doctypebranch: -0.3954 | Importance: -0.3126,Doctypebranch: -0.4146 | Importance: -0.2982,Doctypebranch: -0.3980 | Importance: -0.3124,Doctypebranch: -0.3929 | Importance: -0.3039,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: -0.3514 | Importance: -0.3614,Doctypebranch: -0.3445 | Importance: -0.3534,Doctypebranch: -0.4230 | Importance: -0.3442,Doctypebranch: -0.4557 | Importance: -0.3937,Doctypebranch: -0.3663 | Importance: -0.3384,Doctypebranch: -0.3629 | Importance: -0.3167,Doctypebranch: -0.3481 | Importance: -0.3083,Doctypebranch: -0.3215 | Importance: -0.3117,Doctypebranch: -0.3485 | Importance: -0.4122,Doctypebranch: -0.3413 | Importance: -0.3928,Doctypebranch: -0.2573 | Importance: -0.2271,Doctypebranch: -0.2526 | Importance: -0.3150,Doctypebranch: -0.2304 | Importance: -0.3593,Doctypebranch: -0.2963 | Importance: -0.2607,Doctypebranch: -0.2192 | Importance: -0.2185,Doctypebranch: -0.2936 | Importance: -0.2968,Doctypebranch: -0.2985 | Importance: -0.3105,Doctypebranch: -0.2197 | Importance: -0.1972,Doctypebranch: -0.2898 | Importance: -0.2703,Doctypebranch: -0.3236 | Importance: -0.3819,Doctypebranch: -0.3123 | Importance: -0.3648
out_degree_centrality,Doctypebranch: -0.0576 | Importance: 0.0246,Doctypebranch: 0.0281 | Importance: 0.1768,Doctypebranch: 0.0246 | Importance: 0.1865,Doctypebranch: 0.1575 | Importance: 0.3752,Doctypebranch: -0.0464 | Importance: 0.0469,Doctypebranch: -0.0730 | Importance: 0.0239,Doctypebranch: -0.1218 | Importance: -0.0305,Doctypebranch: 0.0818 | Importance: 0.1633,Doctypebranch: 0.0850 | Importance: 0.1391,Doctypebranch: 0.0576 | Importance: 0.0954,Doctypebranch: 0.0345 | Importance: 0.0560,Doctypebranch: 0.0345 | Importance: 0.0560,Doctypebranch: -0.0239 | Importance: 0.0412,Doctypebranch: 0.0477 | Importance: 0.1770,Doctypebranch: 0.1217 | Importance: 0.1918,Doctypebranch: 0.1234 | Importance: 0.2162,Doctypebranch: 0.0935 | Importance: 0.0815,Doctypebranch: 0.0218 | Importance: 0.0212,Doctypebranch: -0.0062 | Importance: -0.1380,Doctypebranch: -0.0158 | Importance: -0.1183,Doctypebranch: 0.0756 | Importance: 0.2066,Doctypebranch: 0.1182 | Importance: 0.2473,Doctypebranch: 0.2210 | Importance: 0.1032,Doctypebranch: 0.2313 | Importance: 0.1171,Doctypebranch: -0.0050 | Importance: 0.0655,Doctypebranch: 0.0083 | Importance: 0.1099,Doctypebranch: -0.0104 | Importance: 0.0295,Doctypebranch: -0.0719 | Importance: 0.0265,Doctypebranch: -0.0581 | Importance: 0.0120,Doctypebranch: -0.0794 | Importance: 0.0428,Doctypebranch: 0.1854 | Importance: 0.1389,Doctypebranch: 0.0059 | Importance: 0.0994,Doctypebranch: 0.0158 | Importance: 0.0700,Doctypebranch: 0.0404 | Importance: -0.0369,Doctypebranch: 0.0508 | Importance: -0.0410,Doctypebranch: 0.0346 | Importance: 0.1187,Doctypebranch: 0.0258 | Importance: 0.1132,Doctypebranch: 0.1387 | Importance: 0.2683,Doctypebranch: 0.0577 | Importance: -0.0036,Doctypebranch: -0.0087 | Importance: -0.0140,Doctypebranch: -0.0279 | Importance: 0.0523
pagerank,Doctypebranch: -0.3628 | Importance: -0.4206,Doctypebranch: -0.3640 | Importance: -0.3107,Doctypebranch: -0.3763 | Importance: -0.3328,Doctypebranch: -0.3663 | Importance: -0.2988,Doctypebranch: -0.2778 | Importance: -0.3060,Doctypebranch: -0.2875 | Importance: -0.3734,Doctypebranch: -0.3004 | Importance: -0.3470,Doctypebranch: -0.2364 | Importance: -0.2307,Doctypebranch: -0.3084 | Importance: -0.3295,Doctypebranch: -0.3393 | Importance: -0.3801,Doctypebranch: -0.1491 | Importance: -0.1959,Doctypebranch: -0.1491 | Importance: -0.1959,Doctypebranch: -0.3278 | Importance: -0.3757,Doctypebranch: -0.4408 | Importance: -0.2452,Doctypebranch: -0.3818 | Importance: -0.3112,Doctypebranch: -0.3998 | Importance: -0.3016,Doctypebranch: -0.3914 | Importance: -0.3086,Doctypebranch: -0.3939 | Importance: -0.3072,Doctypebranch: -0.2168 | Importance: -0.2106,Doctypebranch: -0.1290 | Importance: -0.1801,Doctypebranch: -0.3371 | Importance: -0.3579,Doctypebranch: -0.3270 | Importance: -0.3484,Doctypebranch: -0.4047 | Importance: -0.3394,Doctypebranch: -0.4374 | Importance: -0.3853,Doctypebranch: -0.3577 | Importance: -0.3391,Doctypebranch: -0.3541 | Importance: -0.3205,Doctypebranch: -0.3488 | Importance: -0.3067,Doctypebranch: -0.3180 | Importance: -0.3062,Doctypebranch: -0.3385 | Importance: -0.4082,Doctypebranch: -0.3335 | Importance: -0.3888,Doctypebranch: -0.2350 | Importance: -0.2275,Doctypebranch: -0.2557 | Importance: -0.3170,Doctypebranch: -0.2333 | Importance: -0.3591,Doctypebranch: -0.2897 | Importance: -0.2605,Doctypebranch: -0.2193 | Importance: -0.2200,Doctypebranch: -0.2915 | Importance: -0.3003,Doctypebranch: -0.2955 | Importance: -0.3145,Doctypebranch: -0.2175 | Importance: -0.2058,Doctypebranch: -0.2843 | Importance: -0.2686,Doctypebranch: -0.3154 | Importance: -0.3759,Doctypebranch: -0.3056 | Importance: -0.3597
relative_in_degree_centrality,Doctypebranch: -0.3701 | Importance: -0.4223,Doctypebranch: -0.3754 | Importance: -0.3186,Doctypebranch: -0.3881 | Importance: -0.3426,Doctypebranch: -0.3836 | Importance: -0.3157,Doctypebranch: -0.2781 | Importance: -0.3022,Doctypebranch: -0.2849 | Importance: -0.3679,Doctypebranch: -0.3015 | Importance: -0.3490,Doctypebranch: -0.2417 | Importance: -0.2290,Doctypebranch: -0.3242 | Importance: -0.3352,Doctypebranch: -0.3454 | Importance: -0.3884,Doctypebranch: -0.1532 | Importance: -0.1953,Doctypebranch: -0.1532 | Importance: -0.1953,Doctypebranch: -0.3327 | Importance: -0.3760,Doctypebranch: -0.4472 | Importance: -0.2479,Doctypebranch: -0.3954 | Importance: -0.3126,Doctypebranch: -0.4146 | Importance: -0.2982,Doctypebranch: -0.3980 | Importance: -0.3124,Doctypebranch: -0.3929 | Importance: -0.3039,Doctypebranch: -0.2189 | Importance: -0.2122,Doctypebranch: -0.1278 | Importance: -0.1811,Doctypebranch: -0.3514 | Importance: -0.3614,Doctypebranch: -0.3445 | Importance: -0.3534,Doctypebranch: -0.4230 | Importance: -0.3442,Doctypebranch: -0.4557 | Importance: -0.3937,Doctypebranch: -0.3663 | Importance: -0.3384,Doctypebranch: -0.3629 | Importance: -0.3167,Doctypebranch: -0.3481 | Importance: -0.3083,Doctypebranch: -0.3215 | Importance: -0.3117,Doctypebranch: -0.3485 | Importance: -0.4122,Doctypebranch: -0.3413 | Importance: -0.3928,Doctypebranch: -0.2573 | Importance: -0.2271,Doctypebranch: -0.2526 | Importance: -0.3150,Doctypebranch: -0.2304 | Importance: -0.3593,Doctypebranch: -0.2963 | Importance: -0.2607,Doctypebranch: -0.2192 | Importance: -0.2185,Doctypebranch: -0.2936 | Importance: -0.2968,Doctypebranch: -0.2985 | Importance: -0.3105,Doctypebranch: -0.2197 | Importance: -0.1972,Doctypebranch: -0.2898 | Importance: -0.2703,Doctypebranch: -0.3236 | Importance: -0.3819,Doctypebranch: -0.3123 | Importance: -0.3648
